Id;Text
1;I  accidentally-on-purpose erased his email  address, so I couldn't contact him again.
2;He forgot their wedding  anniversary, and his apologies only added  fuel to the flames
3;Of course I want to know  - I'm all ears!
4;I had to get up in the  middle of the night to answer the call of  nature.
5;I can't stand backseat  drivers like my mother-in-law!
6;Sophie badgered her  parents into buying her a new computer.
7;"Many people, especially  women,&nbsp; have to perform a balancing act  between work and family.&nbsp;"
8;"Mike couldn't keep  things to himself any longer. He decided to  bare his soul to his best friend.&nbsp;"
9;The police are barking  up the wrong tree if they think Joey stole  the car - he can't drive!
10;The thief beat a hasty  retreat as soon as he saw the security  officer.
11;Your best bet would be  to try calling him at home.
12;He's not hesitating,  he's just biding his time, waiting for the  price to drop.
13;"Binge drinking is  becoming a major problem in some European  countries.&nbsp;"
14;If you say bad things  about the person who gives you a job, you  bite the hand that feeds you.
15;He blotted his copy-book  when he was arrested for speeding.
16;John went on the bottle  when he lost his job.
17;Our competitors obtained  the contract by breaking every rule in the  book.
18;"The atmosphere at work  is not great; the boss keeps breathing down<br/>  our necks all the time."
19;A mediator is trying to  build bridges between the local community  and the owners of the new plant.
20;"If you refuse the offer,  be careful not to burn your bridges by  insulting them.&nbsp; They may make a better  proposal later."
21;Scott looks exhausted -  I'll bet he's been burning the candle at  both ends lately.
22;It's no good burying  your head in the sand. We've got a problem  on our hands.
23;I didn't agree with my  colleague's decision, but for the sake of  peace I decided to bury the hatchet.
24;He was so keen to get  the job that he spent his time buttering up  the boss.
25;They went to the  teacher, cap in hand, and asked for more  time to complete their project.
26;Some parents use a  carrot-and-stick approach to obtain good  results from their children.
27;I may not be able to get  through the traffic, but I'll take a chance  on it.
28;Tony knew there was  little hope of getting into Harvard but he  decided to chance his arm anyway.
29;Referring to Tom as an  'unqualified speaker' was really a cheap  shot.
30;As I explained to the  bus driver what had happened, the other  passengers chimed in and gave their version.
31;Taking away his credit  card is a sure way to clip his wings.
32;Bob has had so many  problems lately, he's coming apart at the  seams.
33;As soon as we added the  swimming pool, our children had 'friends'  coming out of the woodwork!
34;I can't paint with  people watching me - it cramps my style!.
35;After careful  consideration, he decided to stop teaching  and open an art gallery, knowing that he was  crossing the Rubicon.
36;OK. It's time to cut the  cackle and get down to business
37;She's rich and famous  and expects everyone to dance attendance on  her.
38;If you drop out of  college now, with such high unemployment,  you'll be digging your own grave.
39;After being accused of  embezzlement, the director disappeared into  thin air.
40;"Tony accepted the  project without realizing the time it would  take; he always dives in headfirst!"
41;Just before the police  arrived, the suspect did a disappearing act.
42;Just before the rent was  due he did a moonlight flit.
43;Giving him money did  more harm than good - he spent it on  alcohol.
44;Mike is a great guy -  always ready to do a good turn.
45;Wearing jeans to play  golf is not the done thing.
46;The government is  dragging its feet on measures to reduce  pollution.
47;"There goes Jack dropping  names again.&nbsp; People will get tired of  listening to him!"
48;He had no option but to  eat crow and admit that his analysis was  wrong.
49;As a consequence of the  strike, the employees had to eat dirt.
50;I stock up with food  when my teenage sons invite their friends  over. They'd eat you out of house and home!
51;She is so persuasive  that she has people eating out of her hand  in no time.
52;His speech about  creating an association to help the  underprivileged was one long ego trip.
53;When I'm not sure how  much food to prepare, I tend to err on the  side of caution and prepare far too  much.
54;He's a bloody nuisance,  if you'll excuse my French.
55;Sally's mother fell over  backwards to make her wedding reception a  memorable event.
56;He is under close  surveillance. If he makes one false move  he'll be arrested.
57;Come on! Every little  helps. You should feed the kitty for a good  cause!
58;His visit to the trade  fair was 'fiddling while Rome burns'  according to the strikers
59;The headmaster is  fighting a losing battle trying to ban  mobile phones at school.
60;He had money problems  for years but he fought shy of asking his  children for help.
61;I know why she invited  us to her new house - she's just fishing for  compliments.
62;Ever since she flung  herself in the anti-pollution campaign, she  rarely has a free moment!
63;The station is at the  end of the road - just follow your nose.
64;Lily followed in her her  mother's footsteps and became a teacher.
65;He fouled his own nest  by wrongly accusing his boss.
66;Pablo was treated  unfairly. He was frozen out of the project  by the rest of the team.
67;Is Bill coming back for  the closing speech or has he taken French  leave?
68;"So you got the job - I'm  so sad ...&nbsp; Sorry, I mean 'glad'!"
69;We need volunteers to  keep an eye out for gatecrashers tonight.
70;He got on his high horse  when he was asked to show his membership  card.
71;After giving my opinion,  he gave me the cold shoulder.
72;Susan says the pupils in  her new school are giving her a hard time.
73;We didn't win the match  but we gave the other team a run for their  money
74;I'm trying to contact  the manager, but every time I call the firm  I'm given the run-around.
75;"Mike would give the  shirt off&nbsp; his back to help a friend in  difficulty."
76;The police were on his  trail, but he managed to give them the slip.
77;People who always arrive  late should be given a taste of their own  medicine.
78;After his wife died, he  tried to continue life as before, but he  just went through the motions.
79;Stealing is bad, but  stealing from a poor person is really going  too far!
80;At the start of every  new collection my imagination goes into  overdrive.
81;Sometimes when he's  teaching, he goes off on a tangent and  starts talking about his dog!
82;Given the unstable  environment, it's a miracle that none of  their children ever went off the rails.
83;<em>Aunt Betty went out  of her way to make us feel comfortable</em>
84;"My parents tend to go to  extremes.&nbsp; They live on a tight budget and  then they go on expensive holidays!"
85;Jack nearly went to  pieces when his son died in a car crash.
86;When my colleagues  organize an office party, I just go with the  flow.
87;Lunch was organized for  the delegates before the meeting in order to  grease the skids for the negotiations.
88;"The only seat available  is on a low-cost flight.&nbsp; You'll just have  to grin and bear it!"
89;On his return, when Pete  saw the pile of files on his desk, he  groaned inwardly.
90;He was hauled over the  coals for the poor quality of his  presentation.
91;I think Tony has had one  too many - he's talking rubbish!
92;She had the nerve to  attend the ceremony wearing jeans!
93;I had a stab at surfing  once but I decided not to renew the  experience!
94;You can trust him - he's  always ready to help a lame dog over a  stile.
95;One example of herd  mentality is when people rush to get on the  first bus when there are several empty ones  waiting.
96;Politicians sometimes  use personal information to hit their rivals  below the belt.
97;Calm down! There's no  need to hit the panic button yet!
98;Rosie, could you hold  the fort please while I go to the post  office?
99;"We should ask Jane to  represent us; she can hold her own in any  argument."
100;There will no doubt be a  great hue and cry when the reorganization is  announced.
101;He got a job as a  salesman, for which he had no training, so  he just had to jump in at the deep end.
102;His invention was an  instant success but he kept his feet on the  ground and invested his money very wisely
103;"I'm doing my driving  test tomorrow.&nbsp; Keep your fingers crossed  for me!"
104;"All through the  hijacking the pilot kept a level&nbsp; head."
105;He spent a term in  prison a few years ago but he's kept his  nose clean ever since.
106;She was so determined to  get into the college of her choice that she  kept her nose to the grindstone all year.
107;Our agent promised to  keep us posted on developments in the  negotiations.
108;Yes, we've got a  problem, but let's try to keep things in  proportion.
109;The service was so slow  in the restaurant that several customers  began to kick up a fuss.
110;By studying on the train  on the way home, Claire kills two birds with  one stone.
111;The children are  overweight, but their grandmother continues  to give them chocolates and cookies -  she'll kill them with kindness!
112;On the ninth hole, Pete  suddenly lashed out at Scott and accused him  of cheating.
113;She overheard her  colleague's critical remark, but she laughed  it off.
114;Tom felt that his  demonstration was confusing and that his  colleague was laughing up his sleeve.
115;"It would be hard to get  a better deal.&nbsp; Let's just leave well alone."
116;No decent father would  lend himself to violent behaviour.
117;Let's bring the kids to  the playground so they can let off steam.
118;"Look, they've settled  their differences.&nbsp; It's time to let  sleeping dogs lie."
119;Bill didn't like the way  his wife spoke to the operator, but he let  it ride because he didn't want another  quarrel.
120;I've got to lick  this place into shape before my in-laws  arrive.
121;Intellectuals often look  down their noses at amusement parks and  such.
122;Tom made an ass of  himself by singing a love song outside  Laura's door!
123;The apartment was badly  located, but the rent was low, so they  decided to make the best of things.
124;"Get down off the table  Fred!&nbsp; You're making an exhibition of  yourself!"
125;"He won several awards  for his work but he made light&nbsp; of it when  the subject was mentioned."
126;"The boys made light work  of the cleaning up.&nbsp; The house was spotless  in no time."
127;A good lawyer would make  mincemeat of your rival's accusations.
128;"Stop making mountains  out of molehills!&nbsp; It's not a major problem."
129;"I made no bones about  it.&nbsp; I told him his offer was unacceptable."
130;I took him an hour to  walk to the station but he made nothing of  it.
131;The players were hungry  after the match so they made short work of  the food.
132;He wanted to drop out of  medical school in his fourth year but his  uncle managed to make him see reason.
133;Progress has stopped  because of bad weather, but we are  determined to make up for lost time.
134;Politeness is very  important to my grandparents, so mind your  Ps and Qs.
135;The way she panicked was  out of character for such a normally calm  person.
136;The training course was  very interesting but the acid test will come  when I start my new job.
137;"Let's call on George and  his bag of tricks; maybe he can help us  solve the problem."
138;"We need someone who is  really on the ball to head the fund-raising  campaign.&nbsp;"
139;I felt nervous all through the  interview, but I replied to the best of my  ability.
140;“I expect you to do the job well but don’t try to boil the ocean!”
141;When the argument turned  into a fight, the bar owner took the bull by  the horns and called the police.
142;John is very intelligent  but he can't hold a candle to his brother  Paul when it comes to sports.
143;"He's been chasing his  tail all week collecting data but the report  is still&nbsp; not ready."
144;"Meals are always served  on time.&nbsp; In their home everything runs like  clockwork."
145;When we launched the new  product, we cut the ground from under our  competitors' feet.
146;Why don't you call Suzy?  She's a dab hand at organizing barbecues.
147;Let's hope that new  whiz-kid the boss hired can deliver the  goods!
148;When she cooks, it's a  four-course meal - she does nothing by  halves!
149;Another coat of paint  should do the trick.
150;John Bentley? The name rings  a bell but I don't remember him.
151;While I was explaining to  the bus driver what had happened, the other  passengers chimed in and gave their version.
152;When we were kids at  school, multiplication tables were drummed  into our heads.
153;My grandfather is nearly  ninety but he's as fit as a fiddle.
154;When Charles became chairman of the family  business, his brother declared that he would  rather leave than play second fiddle to him.
155;"His visit to the trade  fair was ""fiddling while Rome burns""  according to the strikers."
156;The dress needs a scarf  or a necklace to jazz it up.
157;Let's get out the  tinsel, the fairy lights and all that jazz  to decorate the Christmas tree.
158;His compliments were  music to my ear.
159;He was caught stealing.  Now he has to face the music.
160;He struck a wrong note  when he arrived at the cocktail party  wearing old jeans.
161;He struck the right note with his future  mother-in-low when he brought her a book on  gardening - her favourite hobby!
162;Dad! Stop telling me to  be careful when I drive. You sound like a  broken record!
163;This is one of my favourite pieces of furniture and I got it for a song in a market. Property prices have come right down - houses are going for a song (= being sold very cheaply) at the moment.
164;My grandfather loves  playing the piano. He tickles the ivories  whenever he gets the chance.
165;He shows a lot of  authority but in fact it's his wife who  calls the tune.
166;"He had no consideration  for people out of work until he lost his own  job; now he's singing a different tune."
167;We are still fine tuning  our new website and appreciate your  patience.
168;He refused to blow the  whistle on his boss for fear of losing his  job.
169;Bob spent the afternoon  washing and shining his car until it was as  clean as a whistle.
170;"My grandmother is  getting on in years.&nbsp; She's no longer able  to look after her home without help."
171;Look how tall you are!  Last time I saw you, you were knee-high to a  grasshopper!
172;She's a bit long in the  tooth for a cabaret dancer, isn't she?
173;The style doesn't suit  her - it has a mutton-dressed-as-lamb effect  on her!
174;How old is the owner? I  don't know but she's no spring chicken!
175;Gran! You say you're  over the hill, but you're a super cook!
176;"My uncle Ted is dating a  twenty-year-old girl.&nbsp; That's really robbing  the cradle!"
177;After just a few  questions my grandmother was ready to join  the silver surfers.
178;"I hardly recognized  Mr. Brown.&nbsp; His illness has put years on him."
179;The fire-fighter received a  medal for his action which went above and  beyond the call of duty.
180;Back-room boys don't  always receive the credit they deserve for  their work.
181;My husband is a chef, so  for him time off with the family is often a  busman's holiday!
182;As usual, the cream of  the crop of this year's graduates were  offered the best jobs.
183;The new manager wants to  reduce costs by cutting out the dead wood.
184;Their father is on the  dole so the family is living on a tight  budget.
185;Two world champions  teaming up for the children's fund-raising  project would be a dream ticket.
186;Teachers are duty bound  to report a pupil's absence from school.
187;"Become an apprentice and  get paid while in training.&nbsp; Earn while you  learn!"
188;The managing director of  the bank is in the firing line since the  fraud was discovered.
189;When a company is  restructured, the senior staff are often the  first to get the axe.
190;"There are not secret  negotiations.&nbsp; Our dealings have always been  above board."
191;I'm well prepared for  the negotiations. I've got an ace up my  sleeve
192;With low production  costs and excellent transport facilities,  they seem<br/> to be holding all the aces..
193;When they refused the  terms of the contract, it was back to square  one for the negotiators..
194;With his back to the  wall, the supplier had to accept the deal.
195;"""Beggars can't be  choosers!"""
196;The director bent over  backwards to try and persuade them to accept  our proposal.
197;Tom was given a blank  cheque and told to negotiate the best deal  possible.
198;The salaries have been  agreed on, but opening on Sundays is still a  bone of contention.
199;We'll never reach an  agreement if we don't all bring something to  the table.
200;Paul's final argument  enabled us to clinch the deal.
201;"It's an obligation.&nbsp;  It's written in black and white in your  contract."
202;Tom's final argument enabled us to clinch  the deal.
203;We're still considering several proposals,  so it's not a done deal yet.
204;It was a gentleman's agreement. I can't  change my mind now!
205;I know we're in  agreement, but I need your signature as a  matter of form.
206;I consulted my lawyer  before signing on the dotted line.
207;It is hoped that the  agreement will be signed, sealed and  delivered before the end of the week.
208;We've used the same  supplier for years and we always get a  square deal.
209;I managed to get a loan  with no strings attached.
210;For once the government  and the trade unions are speaking with one  voice.
211;<br />I wish he'd relax.  He's got ants in his pants about something  today.
212;Of course I'll be there  - with bells on!
213;"Danny can't wait to  start his new job.&nbsp; He's bouncing off the  walls."
214;Gary was fantastic. He  arrived bright-eyed and bushy-tailed at 7am<br/>  and worked with us all day
215;The arrival of the  actress caused quite a stir in the village.
216;The press conference was  delayed for such a long time that the  journalists were champing at the bit.
217;When Lucas started  getting all excited, his mother said :<br/>  Hey Lucas, dial it back a bit!
218;"The new accountant works  all the time -&nbsp; first to arrive and last to  leave. He's a real eager beaver!"
219;"He's an enthusiastic  golfer;&nbsp; he eats, sleeps and breathes it!"
220;Look at Bob! He's on the  edge of his seat watching that rugby match!
221;Reaction to the affair  has reached fever pitch all over the  country.
222;"You can count on Tom;  he's always willing to go the extra mile."
223;Hold your horses! We  need to get the customer's approval first!.
224;He was licking his lips  at the idea of the money he was going to  make.
225;"Paul was determined to  make a success of the project.&nbsp; He put his  heart and soul into it."
226;"The kids can't wait to  go camping.&nbsp; They're raring to go!"
227;The anti-immigrant  movement seems to be running out of steam.
228;The number of visitors  to the exhibition, all told, was 2543.
229;I don't know exactly how  much it will cost, but a ballpark figure would be  around $100 000.
230;nstead of the crowd  expected, people arrived in dribs and drabs.
231;"Don't listen to him!&nbsp;  Can't you see he's had one over the eight!"
232;Our team won after they  scored a goal at the eleventh hour.
233;Everyone seemed to have  a specific role except me. I felt like a  fifth wheel
234;First and foremost I  want to thank our hosts for their wonderful  reception.
235;If you go to the  interview dressed like that, you won't get  to first base!
236;Tickets for the match  will be sold on a 'first come first served'  basis.
237;Getting to see the  performance (at) first hand is much better  than watching it on television.
238;Sandra was so  enthusiastic about the project that she was  first out of the gate.
239;Why didn't you tell me  he was your boyfriend in the first place?
240;The violinist gave a  performance that was of the first water
241;How could he afford that  watch? Who knows - perhaps with a  five-finger discount!
242;He looked tired and had  a five o'clock shadow.
243;The journalist was  determined at all costs to get a report from  the war zone.
244;"The avowed intent of the  new government is to reduce unemployment.&nbsp;"
245;If he continues to  refuse my calls, I'll have to beard the lion  in his den.
246;She's got a bee in her  bonnet about moving to New York.
247;The research team  received a grant from the government that  was beyond their wildest dreams.
248;"His success wasn't due  to luck; it was blood, sweat and tears all  the way."
249;Stop talking about golf.  You've got golf on the brain!
250;If you want to pass your  exams, you'll have to buckle down and do  some serious work.
251;My grandfather dug in  his heels and refused to move to an  apartment.
252;We can't say it's  impossible until we've explored all avenues.
253;Mike couldn't keep  things to himself any longer. He decided to  bare his soul to his best friend.
254;When things go wrong,  his assistant always has to bear the brunt  of his anger.
255;"Don't get bent out of  shape if you're delayed.&nbsp; We'll wait for  you."
256;He was beside himself  with grief when he lost his son.
257;I could see that my son  was bored to tears by the historical  documentary.
258;He's been carrying the  torch for Julie since their college days,  before she married Ted.
259;"My seven-year-old son  thinks he's a big boy; he wouldn't be caught  dead holding my hand in front of his  friends!"
260;Jenny is absolutely  cheesed off with her job.
261;He's got a chip on his  shoulder because he's from a working-class  family.
262;"Alan looks embarrassed.&nbsp;  Bob's comment must have been close to home."
263;It would be better if  she showed her grief and didn't cork up her  feelings.
264;Alan was cut to the  quick when Joe expressed doubt about his  sincerity.
265;He appears to be  indifferent to his success, but deep down  he's very happy.
266;He wanted to be a clown,  but his parents soon nipped that idea in the  bud.
267;"Stop beating around the  bush. Just tell me what has been decided!&nbsp;"
268;The story about his boat  capsizing has become an old chestnut!
269;"I met Molly the other  day.&nbsp; She looked as fresh as a daisy."
270;Old Johnny Barnes? He's  been pushing up the daisies for over 10  years!
271;"I still haven't got the  promotion I was promised.&nbsp; I think my boss  is leading me up the garden path!"
272;The boys were so  exhausted that they hit the hay as soon as  they reached the campsite.
273;Successful athletes are  advised to make hay while the sun shines
274;"As soon as he received  the permit, he started to build.&nbsp; He never  lets the grass grow under his feet!"
275;My dad was born with  green fingers. He's great with plants.
276;The population was up in  arms over the demolition of the old theatre.
277;Liz, please, get off my  back! You've been making comments about my  work all morning!
278;"When his team lost the  match, Brad was like a bear with a sore  head.&nbsp;"
279;I worked 10 hours a day  all week and my boss bit my head off for not  doing my share of the work!
280;"You'd better keep away  from Bill today.&nbsp; He's in a black mood."
281;Charlie blew a fuse  yesterday then he discovered that his ipod  had been stolen.
282;When the shop was  burgled for the third time, the owner blew a  gasket.
283;When my mother saw the  state of the house after the party, she blew<br/>  her top!
284;"Mark wants to see the  boss.&nbsp; He says he's got a bone to pick with  him."
285;If you mix up the order,  the boss will come down on you like a ton of  bricks!
286;For crying out loud,  turn that television off!
287;I've had enough of your  insinuations, so just cut it out!
288;I can't concentrate with  all the noise - it's driving me up the wall.
289;The boss will eat me  alive if the report arrives late.
290;Harry was fit to be tied  when his dog dug up the flowers he had  planted.
291;He got a lot of flak for  the way he handled the situation.
292;Tony has always loved  olives, but for me it was an acquired taste.
293;My grandson is the apple  of my eye.
294;"They made sure the house  was in apple-pie order before their parents  arrived back home.&nbsp;"
295;If you announce that you  are going to drop out of school, your  parents will go bananas!
296;"He may be getting old  but he's still full of beans.&nbsp;"
297;"Come on!&nbsp; Spill the  beans!&nbsp; What did he say?"
298;Judy came back from her  holiday as brown as a berry.
299;"After waiting for an  hour, we were told there no seats left.&nbsp;  That took the biscuit!"
300;"Jack never argues with  his father-in-law.&nbsp; He knows which side his  bread is buttered."
301;The decision to ban  street vendors took the bread out of the  mouths of many people.
302;The boy who stole the  purse looked as if butter wouldn't melt in  his mouth.
303;The English test was a  piece of cake!
304;Since profits are higher  this year, the workers feel they deserve a  bigger slice of the cake.
305;I need to know if it's  going to be a casual get-together or a black  tie event
306;The President was  greeted with much bowing and scraping.
307;Wearing jeans to play  golf is not the done thing in this club.
308;Your grandfather doesn't  tolerate rudeness, so mind your language  when we go to visit him!
309;"Jenny is angry with her  son.&nbsp; He overstepped the mark when he called  his grandfather an 'old fool'."
310;At the first meeting I  was afraid of speaking out of turn.
311;We'd be delighted to  come and see you but please don't stand on  ceremony.
312;Guests were greeted  according to a time-honored practice.
313;He grabbed the envelope  and ran like a bat out of hell.
314;He comes up with the  craziest ideas - he's got bats in the  belfry!
315;After hours of effort,  the technicians finally broke the back of  the beast and turned the electricity back on  again.
316;"If you say ""Chloe thinks  she's the bee's knees"" you mean that <br/> Chloe has a high opinion of herself."
317;"No wonder they get on  well.&nbsp; They're birds of a feather!"
318;As far as I'm concerned,  his theory is for the birds.
319;My dad decided to take  up golf and was immediately bitten by the  bug.
320;Wrapped up in a blanket  on the sofa, Sophie looked as snug as a bug  in a rug.
321;"Don't mention Tom's  promotion to Mike.&nbsp; It would be like a red  flag to a bull!"
322;What I like about the  new manager is that he calls a spade a spade  - it makes things so much easier for  everyone.
323;Let's clean the air and  put our cards on the table.
324;The atmosphere had  become so unpleasant that he decided it was  time to clear the air.
325;The boy was encouraged  to come clean and tell the authorities what  happened.
326;David needs to be told  some home truths, whether he likes it or  not!
327;After a few drinks he  told us the whole story - in vino veritas!
328;The boss laid it on the  line and told Jimmy that if he arrived late  for work again he would lose his job.
329;"I made no bones about  it.&nbsp;&nbsp; I told him his offer was unacceptable."
330;"Come on John!&nbsp; Tell us  what you really think - and don't mince your  words."
331;Tell me straight - is he  on the level or not?
332;It's time to open the  kimono and explain that we cannot meet the  deadline.
333;"The doctor pulled no  punches.&nbsp; He explained in detail the risks  of the operation."
334;The customer said a  mouthful when he gave the reason for his  dissatisfaction.
335;Tell me how the accident  happened, and I want the unvarnished truth.
336;"Not so fast!&nbsp; Tell me in  words of one syllable!"
337;He's extremely  intelligent, but his inability to speak in  public is his Achilles heel.
338;Alarm bells started to  ring when my old neighbour didn't open his  shutters all day and didn't answer his  phone.
339;"Driving fast on these  roads is really asking for trouble!&nbsp;"
340;"&nbsp;Our holiday home has  become a ball and chain - it's too much  work!"
341;"The heating system is  always breaking down. It's the bane of my  life!&nbsp;"
342;As soon as I started to  translate the report, I realized that I had  bitten off more than I could chew.
343;What a nuisance! The  photocopier is on the blink again.
344;The discovery of the  transfer of funds turned out to be a real  can of worms
345;The author didn't turn  up for the interview and his agent had to  carry the can.
346;"I can't get a job  without a work permit, and I can't get a  work permit without a job.&nbsp; It's a catch 22  situation!"
347;any building companies  are facing the chill wind of the recession.
348;I've never seen anyone  so easily scared. She's afraid of her own  shadow!
349;"We waited with bated  breath for the winner to be announced.&nbsp;"
350;The look in the  prisoner's eye made my blood run cold!
351;I get nervous at the  dentist's and usually break out in a cold  sweat
352;"My son is doing his  driving test today.&nbsp; Needless to say he's a  bundle of nerves!"
353;At the beginning of an  exam, I always have butterflies in my  stomach.
354;She once worked for a  famous fashion designer but she couldn't  stand the pace.
355;The week before the  results were published, she was like a cat  on hot bricks.
356;He got his fingers burnt  so badly in the last elections that he  decided to withdraw from politics.
357;Emma had her heart in  her mouth when she saw her two-year-old son  standing in front of the open window.
358;When the lights suddenly  went out, my heart missed a beat.
359;Having to go down to the  car park at night gives me the  heebie-jeebies.
360;I went for a second  interview today - now I'm holding my breath!
361;"Amid the growing  tension, the organizer declared : ""If you  can't stand the heat, get out of the  kitchen!"""
362;I didn't know our  neighbour was an escaped prisoner until the  police arrived - ignorance is bliss!
363;Let's get out of the  house. A walk on the beach will blow away  the cobwebs!
364;After a week of exams,  the students needed to go and chill out.
365;My brother, who is an  estate agent, was in his element  house-hunting for our parents.
366;As he drove along the  coast, he feasted his eyes on the beautiful  scenery.
367;John will never get  married. He says he prefers to be footloose  and fancy free.
368;When we got back to the  office, the Christmas party was in full  swing.
369;"Barbara is full of the  joys of spring at the moment!&nbsp; Has she got a  new boyfriend?"
370;Reading gossip  magazines is a guilty pleasure for many  women… and some men too!
371;He's a happy-go-lucky  sort of guy - always in good humour.
372;"The party was great. We  had a ball.&nbsp;"
373;The kids had the time of  their lives at Disneyland.
374;We had a whale of a time  at the party last night.
375;"Come on!&nbsp; We're not in  the office now.&nbsp; You can let your hair down!"
376;I'm so glad we invited  Emily. She was the life and soul of the  party.
377;He married a  millionaire, and since then he's been living  the life of Riley!
378;He's thirty years old  and still hasn't cut loose from his family
379;I'm glad we see eye to  eye on the choice of colour scheme.
380;I thought I could count  on Bill, but I've discovered he's just a  fair-weather friend.
381;"As soon as Sarah met her  brother's girlfriend, they got on like a&nbsp;  house on fire."
382;We try not to disturb  the people next door. Good walls make good  neighbours!
383;They invited me to join  them but I didn't want to play gooseberry.
384;Organizing an outing for  a group of people from different countries  is like herding cats!
385;So Sally and Harry are  an item, are they?
386;"Sue and Anne have been  friends since childhood.&nbsp; They know each  other inside out."
387;A discussion took place  about the colour of the receptionist's shoes  - much ado about nothing!
388;"The final choice was  made yesterday, so don't argue the toss  now!&nbsp;"
389;All hell broke loose  when it was announced that the plant was  going to close down.
390;"The battle lines have  been drawn between those who accept the  changes and those who are against the  proposed reforms. &nbsp;"
391;When they separated,  neither party would make concessions - it  was a battle of wills.
392;A blamestorming session  took place following the unfavourable  reviews in the press.
393;I'm in my wife's bad  books at the moment because I forgot our  wedding anniversary.
394;I didn't agree with my  colleague's decision, but for the sake of  peace,<br/> I decided to bury the hatchet.
395;After the neighbour's  threats to demolish the fence, when Jack  decided to call his bluff, there were no  more complaints.
396;When the boss announced  my promotion, I was on cloud nine.
397;My son cried his eyes  out when he discovered his bike had been  stolen.
398;When Paul won the first  prize he was like a dog with two tails.
399;Alex has been down in  the dumps since he failed his exam.
400;"You look a bit down in  the mouth.&nbsp; What's the matter?"
401;What's wrong with Pete?  He's got a face like a wet week-end!
402;Lisa is living in a  fool's paradise if she thinks her boss is  going to marry her.
403;<br /> When we saw Paul grinning from ear to ear,  we knew he had passed the exam.
404;I knew she had succeeded  when I saw her with a grin like a Cheshire  cat.
405;With his new job and his  new car, Andy is a happy camper.
406;Since she moved to a  smaller apartment, my mother is as happy as  a flea in a doghouse!
407;My dad's as happy as  Larry at the week-end when we all arrive  home.
408;My heart sank when I saw  the amount of work waiting for me.
